number,endpoint,request,success_response,error_response
12,/add-subdivision,"{""access_token"": ""jwt.token.here"", ""sub_name"": ""string"", ""division_id"": 1, ""circle_id"": 1}","{""status"": 201, ""data"": {""sub_id"": 1}, ""message"": "
14,/department,"{""access_token"": ""jwt.token.here"", ""department_id"": 1 (optional)}","{""status"": 200, ""data"": [{""department_id"": 1, ""department_name"": ""Department 1""}, ...], ""message"": ""Department data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""Department not found""}}"
15,/add-department,"{""access_token"": ""jwt.token.here"", ""department_name"": ""string""}","{""status"": 201, ""data"": {""department_id"": 1}, ""message"": ""Department added successfully""}","{""status"": 400, ""error"": {""error"": ""Department name already exists""}}"
16,/update-department,"{""access_token"": ""jwt.token.here"", ""department_id"": 1, ""department_name"": ""string""}","{""status"": 200, ""data"": {""department_id"": 1}, ""message"": ""Department updated successfully""}","{""status"": 400, ""error"": {""error"": ""Department name already exists""}}"
17,/role,"{""access_token"": ""jwt.token.here"", ""role_id"": 1 (optional)}","{""status"": 200, ""data"": [{""role_id"": 1, ""role_name"": ""Admin""}, ...], ""message"": ""Role data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""Role not found""}}"
18,/add-role,"{""access_token"": ""jwt.token.here"", ""role_name"": ""string""}","{""status"": 201, ""data"": {""role_id"": 1}, ""message"": ""Role added successfully""}","{""status"": 400, ""error"": {""error"": ""Role name already exists""}}"
19,/update-role,"{""access_token"": ""jwt.token.here"", ""role_id"": 1, ""role_name"": ""string""}","{""status"": 200, ""data"": {""role_id"": 1}, ""message"": ""Role updated successfully""}","{""status"": 400, ""error"": {""error"": ""Role name already exists""}}"
20,/taluka,"{""access_token"": ""jwt.token.here"", ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""taluka_id"": 1, ""taluka_name"": ""Taluka 1""}, ...], ""message"": ""Taluka data retrieved successfully""}","{""status"": 404, ""error"": {""error"": ""Taluka not found""}}"
21,/add-taluka,"{""access_token"": ""jwt.token.here"", ""taluka_name"": ""string""}","{""status"": 201, ""data"": {""taluka_id"": 1}, ""message"": ""Taluka added successfully""}","{""status"": 400, ""error"": {""error"": ""Taluka name already exists""}}"
22,/update-taluka,"{""access_token"": ""jwt.token.here"", ""taluka_id"": 1, ""taluka_name"": ""string""}","{""status"": 200, ""data"": {""taluka_id"": 1}, ""message"": ""Taluka updated successfully""}","{""status"": 400, ""error"": {""error"": ""Taluka name already exists""}}"
23,/department-delayed,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_delayed_projects"": 5}, ...], ""message"": ""Department delayed reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
24,/department-pending,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_pending_projects"": 5}, ...], ""message"": ""Department pending reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
25,/jobwise,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
26,/template-listinging,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
27,/template-edit,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
28,/add-template,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
29,/update-template,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
30,/project-task-listing,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
31,/project-task-edit,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
32,/project-task-add,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
33,/project-task-update,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
34,/project-listing,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
35,/project-edit,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
36,/project-add,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"
37,/project-update,"{""access_token"": ""jwt.token.here"", ""circle_id"": 1 (optional), ""division_id"": 1 (optional), ""sub_division_id"": 1 (optional), ""taluka_id"": 1 (optional)}","{""status"": 200, ""data"": [{""dept_name"": ""Department 1"", ""no_jobwise_projects"": 5}, ...], ""message"": ""Department jobwise reports retrieved successfully""}","{""status"": 400, ""error"": {""error"": ""Invalid request""}}"

